"disturb_year","site","statistic","p_value","var"
"2005","N",0.98732,0.00041,"rc"
"2005","S",0.99221,0.02101,"rc"
"2012","N",0.99067,0.0045,"rc"
"2012","S",0.99047,0.00597,"rc"
"2005","N",0.99325,0.03304,"rt"
"2005","S",0.99399,0.07917,"rt"
"2012","N",0.9959,0.26022,"rt"
"2012","S",0.99637,0.4178,"rt"
"2005","N",0.99493,0.12519,"rs"
"2005","S",0.99594,0.31813,"rs"
"2012","N",0.98317,3e-05,"rs"
"2012","S",0.9916,0.01349,"rs"
"2005","N",0.99396,0.05822,"rrs"
"2005","S",0.99616,0.36591,"rrs"
"2012","N",0.99612,0.30588,"rrs"
"2012","S",0.98433,0.00011,"rrs"
